,author,published_at,updated_at,like_count,text
1150,@ploppyploppy,2023-06-24T20:16:24Z,2023-06-24T20:16:52Z,1,Sorry why does 'the creators of Game of Thrones' mean anything? You mean the people who wrecked it the moment it wasn't written for them? They planning on destroying this in the last few episodes as well? It just says to me 'avoid like the plague'.
1151,@wordherder,2023-06-24T20:07:42Z,2023-06-24T20:07:42Z,1,omgomgomgomgomgogm
1152,@DashWatson,2023-06-24T19:41:52Z,2023-06-24T19:41:52Z,0,"This looks too action heavy unlike the book which reads like a chronicle. Also, being creators of Game of Thrones is not something to be proud of or mention in your CV."
1153,@luisdanielmoreno5717,2023-06-24T19:32:15Z,2023-06-24T19:32:15Z,1,"i realllyy want this to have success so they can make something animated,  i think that medium would really benefit the ideas and scenery of the books"
1154,@madelinevlogs5898,2023-06-24T19:19:07Z,2023-06-24T19:19:07Z,1,We learned about this book in my Chinese history class! I’m excited to watch it
1155,@zenithquasar9623,2023-06-24T19:19:06Z,2023-06-24T19:19:06Z,1,"I would be super excited but it is DnD...so, it irks me."
1156,@hanoimuathu123,2023-06-24T18:39:00Z,2023-06-24T18:39:00Z,3,"another whitewash media product from the west. all of the main male character are white. the only prominent asian is, well, another token female asian. and this is based on a Chinese-Chinese novel. as an Asian male I’m enraged, will unsub netflix and pirate all the netflix K-drama."
1157,@sarahwang1133,2023-06-24T18:29:24Z,2023-06-24T18:29:24Z,0,Wonder how this will compare to the 2023 Chinese series
1158,@nilofluss,2023-06-24T18:26:06Z,2023-06-24T18:26:06Z,0,"Another intresting good looking series that will be cancelled like all the others and leave us with intrigue, thank you very much"
1159,@MrOzyalp,2023-06-24T18:23:25Z,2023-06-24T18:23:25Z,1,Carl sagan ? Wow :) extra like
1160,@arghyagupta,2023-06-24T18:16:32Z,2023-06-24T18:16:32Z,1,oh man can't wait for this also I hope netfilx keeps it original
1161,@larisaderevyankina6247,2023-06-24T18:13:09Z,2023-06-24T18:13:09Z,1,In Chinese adaptation Ye Wenjie was beautiful <br>Here she is fat and ugly 😡
1162,@OrestesKyriakosPoulakis,2023-06-24T18:04:17Z,2023-06-24T18:04:17Z,1,"Since there's already a recent Chinese adaptation available on YouTube, which is very close to the source material, I have no reason to watch what Dan and Dave will kinda forget to do here as well"
1163,@lorenzomizushal3980,2023-06-24T17:41:08Z,2023-06-24T17:41:08Z,0,Can't believe how dumb the premise of this story is but if you can get past that it's somewhat above average.
1164,@maxvillareal9654,2023-06-24T17:17:43Z,2023-06-24T17:17:43Z,1,"This trailer was so absolutely random that unless you're already a fan of wherever this is, you won't get any interest in it."
1165,@karmigero,2023-06-24T17:15:05Z,2023-06-24T17:15:05Z,2,Lost me at 'from the creators of got'
1166,@pedrojorge1912,2023-06-24T17:14:29Z,2023-06-24T17:14:29Z,2,"At least the three books are finished, so maybe David Benioff and Dan Weiss won't butcher the story like they did with Game of Thrones when the source material ended and they weren't able to maintain the same level of writing quality as the author."
1167,@teukurifqy5276,2023-06-24T16:52:46Z,2023-06-24T16:52:46Z,1,"<b>cancelled after season 1</b><br><br>- Netflix, since forever."
1168,@lyricbot8513,2023-06-24T16:46:29Z,2023-06-24T16:46:29Z,0,"This looks great, so Netflix will probably cancel it within two weeks."
1169,@aadityamehar,2023-06-24T16:15:22Z,2023-06-24T16:15:22Z,1,This looks exactly like what I thought it would!! Let's just hope it lives up to the books
1170,@ragmondead,2023-06-24T16:09:55Z,2023-06-24T16:09:55Z,0,This looks really goo.... 'From the creators of Game of Thrones'<br><br>O NVM
1171,@omorfaruqakib965,2023-06-24T15:43:02Z,2023-06-24T15:43:02Z,1,I am soo excited!!!
1172,@fabiencazeau1506,2023-06-24T15:15:42Z,2023-06-24T15:15:42Z,0,ça a l'air bien relou ça encore
1173,@mynameisdrpat,2023-06-24T15:12:24Z,2023-06-24T15:12:24Z,0,The CGI problem.
1174,@Chicken008,2023-06-24T15:05:59Z,2023-06-24T15:05:59Z,0,"Pay your writers!
<br>And animators/special effects artists while you're at it."
1175,@vani9831,2023-06-24T15:04:00Z,2023-06-24T15:04:00Z,46,"I am so glad I finished reading the books before the adaptation came out. Nothing can replace the feeling of visualizing these amazing vivid stories first hand in the mind, instead of the DD adaptation. <br><br>I am apprehensive about what happens with book 3, because books 1 & 2 mostly contain scenes that have been seen on screens before. Really hope they do justice to it."
1176,@DogmenHardcastle,2023-06-24T14:42:31Z,2023-06-24T14:42:31Z,1,"Some trailers give away the whole story, and that sucks, but I'd say this one was bad in the other direction. I have absolutely no idea what it's about and don't feel compelled or interested for that reason. I don't even feel ""teased""."
1177,@user-vm6pi4lb2f,2023-06-24T14:40:46Z,2023-06-24T14:40:46Z,1,等2024年1月看看，不过不抱希望。但愿尊重原著，别魔改就行。就以现在的预告片来看，妥妥的政治正确啊，但愿请的华人演员水平好一些，白人演员正常一些别太浮夸，我不记得原著前期有黑人角色😅 考虑到埃及艳后用黑人来演，就不抱希望了。好想看完三体三本书的电视剧啊啊啊啊，奈飞千万别毁经典
1178,@damnwall,2023-06-24T14:34:17Z,2023-06-24T14:34:17Z,1,This is not going to work out. Prepare for disappointment.
1179,@6Euphoria6,2023-06-24T14:33:04Z,2023-06-24T14:33:04Z,1,You know you can just watch drama version or tge animated version cuz...... why does it feel like they're gonna white wash black wash....
1180,@wingbats,2023-06-24T14:28:02Z,2023-06-24T14:28:02Z,1,“From the creators of game of thrones” guess I’m skipping this one
1181,@mrc1500,2023-06-24T14:24:17Z,2023-06-24T14:24:17Z,1,"I'm really looking forward to this but it's a slow burn of a story. Netflix, I swear to God, if you start this series and then cancel it then you're f***ing dead to me. Seriously!"
1182,@phalita1,2023-06-24T14:17:24Z,2023-06-24T14:17:24Z,1,"""As children we fear the dark. Anything might be out there. The unknown troubles us..<br>There are those who say we should not enquire too closely, into who else might be living in that darkness. Better not to know..<br>But we continue to search. Life looks for life..""<br><br>~Carl Sagan"
1183,@Hongtu-on8xp,2023-06-24T14:11:16Z,2023-06-24T14:11:16Z,1,Take my money ❤😂 Omg can’t wait to see it
1184,@shockerzlee,2023-06-24T14:01:20Z,2023-06-24T14:01:20Z,3,The stable era has come. RE-HYDRATE!
1185,@manginhan8181,2023-06-24T13:33:20Z,2023-06-24T13:33:20Z,1,Typical whitewashing
1186,@COMANAVAGO,2023-06-24T13:29:19Z,2023-06-24T13:29:19Z,1,My favourite book trilogy come to life!
1187,@priyankpiyush,2023-06-24T13:23:43Z,2023-06-24T13:23:43Z,1,"Read all the books, hope they made it good"
1188,@calebharch7229,2023-06-24T13:06:00Z,2023-06-24T13:06:00Z,1,"Oh Netflix, please don’t ruin this.<br><br>The best part about the book was the extreme existential horror that the ideas and concepts in it provoked.<br><br>This kinda looks like generic sci-fi toss, I hope I’m wrong."
1189,@boostspike,2023-06-24T12:54:48Z,2023-06-24T12:54:48Z,0,Let’s just hope it doesn’t have a crappy ending like GOT 😤
1190,@deanjelbertaustria6174,2023-06-24T12:03:21Z,2023-06-24T12:03:21Z,0,How many trisolaran hours before it premier?? 😂😂😂
1191,@deanjelbertaustria6174,2023-06-24T12:02:17Z,2023-06-24T12:02:17Z,2,Can't wait for the droplet attack!
1192,@user-oq9ln9ew4e,2023-06-24T11:21:40Z,2023-06-24T11:21:40Z,1,"3body  is my favorite sci fi, really hope they don't mess this up"
1193,@dashong8912,2023-06-24T10:04:34Z,2023-06-24T10:04:34Z,1,Great trailer.
1194,@melvinsagini1198,2023-06-24T09:58:13Z,2023-06-24T09:58:13Z,0,is this out yet?
1195,@logo.phobia7300,2023-06-24T09:57:14Z,2023-06-24T09:57:14Z,0,“From the creators of Game of thrones”…………….
1196,@Tardigradient,2023-06-24T09:46:17Z,2023-06-24T09:46:17Z,0,"Define ""From the creators of Game of Thrones""....🤔"
1197,@kuningaskolassas4720,2023-06-24T09:37:36Z,2023-06-24T09:37:36Z,0,"Funny how they claim this is ""From the creators of GOT"" instead of the actual author of the material."
1198,@RahulGupta-uq3jz,2023-06-24T09:03:10Z,2023-06-24T09:03:10Z,0,Amazing. Please find a way to bring us Iain M Banks.
